Requirement,Existing,Verified,Gap,Action,Status
R14 Security: SQL injection,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: XSS / CSV formulas,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Duplicate checkout / concurrency,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Replay / cancellation,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Preview/operational separation,Yes,"provenance tests, including editable-email attack cases",Editable email heuristics could misclassify unmarked data or disrupt explicit operational data,"Immutable provenance/audit evidence, fail-closed classification; never email-based preview grants",Fixed and verified
R15 Accounting: Sale tenders / revenue / output VAT,Yes,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R15 Accounting: COGS / inventory,Yes,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R15 Accounting: Receiving / accounts payable / actual settlement,Yes,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R15 Accounting: Expense / tender account,Yes,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R15 Accounting: Refund of recorded price/tax/COGS,Yes,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R15 Accounting: Stock loss / adjustment counterpart,Yes,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R15 Accounting: Manually recorded recoverable input VAT,Partial,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R15 Accounting: Atomic financial mutations and failed schema upgrades,Yes,"VAT precision, late journal rollback, migration/failure, accountant and integrity tests","Source-to-GL detection, penny refunds and input tax needed strengthening","Same journal engine; exact cents, source reconciliations, transactional migrations and append-only reversals",Verified accounting mechanics
R16 Kenya readiness: KES,Yes,"implementation, receipt/metadata/date tests and source register",PIN was not on receipts; snapshots absent,Snapshot/display configured identity and explicit tax claims; no invented PIN/supplier facts,Verified mechanics; manual values required
R16 Kenya readiness: Africa/Nairobi date boundaries,Yes,"implementation, receipt/metadata/date tests and source register",PIN was not on receipts; snapshots absent,Snapshot/display configured identity and explicit tax claims; no invented PIN/supplier facts,Verified mechanics; manual values required
R16 Kenya readiness: Product VAT configuration,Yes,"implementation, receipt/metadata/date tests and source register",PIN was not on receipts; snapshots absent,Snapshot/display configured identity and explicit tax claims; no invented PIN/supplier facts,Verified mechanics; manual values required
R16 Kenya readiness: Stored business PIN / branch information,Yes,"implementation, receipt/metadata/date tests and source register",PIN was not on receipts; snapshots absent,Snapshot/display configured identity and explicit tax claims; no invented PIN/supplier facts,Verified mechanics; manual values required
R16 Kenya readiness: Supplier records,Yes,"implementation, receipt/metadata/date tests and source register",PIN was not on receipts; snapshots absent,Snapshot/display configured identity and explicit tax claims; no invented PIN/supplier facts,Verified mechanics; manual values required
R16 Kenya readiness: Kenyan source-linked catalogue,Yes,"implementation, receipt/metadata/date tests and source register",PIN was not on receipts; snapshots absent,Snapshot/display configured identity and explicit tax claims; no invented PIN/supplier facts,Verified mechanics; manual values required
R16 M-Pesa integration / provider reconciliation,No (manual recording exists),Official Safaricom onboarding/callback guide; source has no connector,E02 P1 external,"Real shortcode/account, secure credentials, callbacks, idempotent matching and witnessed transaction acceptance required",NOT production-verified
R16 KRA / eTIMS fiscal integration and legal invoice compliance,No,Current KRA guidance inspected; receipts explicitly non-fiscal,E01 P1 external,KRA onboarding/certification or validated external fiscal workflow; no fake fiscal numbers,NOT production-ready as sole fiscal invoicing system
R17 Hardware: USB/Bluetooth keyboard-wedge scanner,Partial,Browser keyboard input/PDF/media-box/viewport tests only,E03 physical-device acceptance missing,Manual search/download/count fallback; execute HARDWARE_ACCEPTANCE.md on actual devices,Software paths verified; physical hardware UNVERIFIED
R17 Hardware: Receipt printers 58/80 mm,Partial,Browser keyboard input/PDF/media-box/viewport tests only,E03 physical-device acceptance missing,Manual search/download/count fallback; execute HARDWARE_ACCEPTANCE.md on actual devices,Software paths verified; physical hardware UNVERIFIED
R17 Hardware: A4 printers,Partial,Browser keyboard input/PDF/media-box/viewport tests only,E03 physical-device acceptance missing,Manual search/download/count fallback; execute HARDWARE_ACCEPTANCE.md on actual devices,Software paths verified; physical hardware UNVERIFIED
R17 Hardware: Cash drawers,Partial,Browser keyboard input/PDF/media-box/viewport tests only,E03 physical-device acceptance missing,Manual search/download/count fallback; execute HARDWARE_ACCEPTANCE.md on actual devices,Software paths verified; physical hardware UNVERIFIED
R17 Hardware: Tablet POS,Partial,Browser keyboard input/PDF/media-box/viewport tests only,E03 physical-device acceptance missing,Manual search/download/count fallback; execute HARDWARE_ACCEPTANCE.md on actual devices,Software paths verified; physical hardware UNVERIFIED
R18 Business → branch → register → user → inventory / financial scopes,"Yes, single-branch UI",Schema and reassignment/IDOR tests,Register identity is session-based; no provisioning/switch/transfer UI,"Preserve single-branch UI; document memberships, registers, transfers, access and concurrency prerequisites",Foundation verified; multi-branch activation P3
R19 Read-only AI features / no autonomous financial mutation,Yes,GET permission and POST rejection tests; source inspection,No actual forecasting service or machine token integration,Retained read-only feature boundary; require human-owned approval workflows,Read-only boundary verified; AI service P3
R20 Execute npm ci,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm run test,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm run typecheck,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm run lint,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm run build,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm run verify,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm run db:check,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm run test:e2e,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R20 Execute npm audit --omit=dev,Yes,Fresh baseline and final execution; SECOND_PASS_VERIFICATION.json,Final lint found new-test unused imports; fixed and verify rerun,"Recorded real results, failures and successful rechecks",Passed
R21 P0/P1/P2/P3 gap classification,Added,SECOND_PASS_AUDIT.md finding register,Baseline green was not sufficient,P0 first; local P1 fixed; external P1 explicitly blocked; P3 deferred,Delivered
R22 No duplication / reuse architecture,Yes,Source diff and route inventory,No second POS/auth/ledger/approval system warranted,Existing files extended; only shared metadata and migrations/test modules added,Verified
R23 Audit report / matrix / plan / implementation / verification / final status,Added,"This matrix, audit, evidence JSON, source changes and hardware/multi-branch guides",Requested second-pass handoff did not previously exist,Produce linked deliverables with exact boundaries and evidence,Delivered
R24 Critical chain: SALE → PAYMENT → STOCK → JOURNAL → RECEIPT → REPORT → AUDIT,Yes,Authenticated accountant API journey + 8 browser scenarios and original-record assertions,Additional edge paths absent from original suite,"Executed real chains and tested failures, not just visible screens",Verified software; external go-live gates remain
R24 Critical chain: ERROR → REQUEST → INDEPENDENT REVIEW → LINKED CORRECTION → AUDIT,Yes,Authenticated accountant API journey + 8 browser scenarios and original-record assertions,Additional edge paths absent from original suite,"Executed real chains and tested failures, not just visible screens",Verified software; external go-live gates remain
R24 Critical chain: PURCHASE → RECEIVING → STOCK → SUPPLIER / JOURNAL → REPORT,Yes,Authenticated accountant API journey + 8 browser scenarios and original-record assertions,Additional edge paths absent from original suite,"Executed real chains and tested failures, not just visible screens",Verified software; external go-live gates remain
R24 Critical chain: EXPENSE → ENTRY → JOURNAL → CLOSING → REPORT → AUDIT,Yes,Authenticated accountant API journey + 8 browser scenarios and original-record assertions,Additional edge paths absent from original suite,"Executed real chains and tested failures, not just visible screens",Verified software; external go-live gates remain
